,BBoxes per Image,Number of Images
0,1,81
1,2,167
2,3,221
3,4,218
4,5,217
5,6,189
6,7,170
7,8,184
8,9,169
9,10,121
10,11,97
11,12,84
12,13,69
13,14,49
14,15,46
15,16,41
16,17,36
17,18,25
18,19,29
19,20,14
20,21,4
21,22,1
22,23,4
23,24,2
24,25,4
25,26,3
26,27,5
27,28,5
28,29,15
29,30,20
30,31,8
31,32,7
32,33,13
33,34,19
34,35,10
35,36,6
36,37,17
37,38,13
38,39,6
39,40,9
40,41,10
41,42,12
42,43,11
43,44,4
44,45,2
45,46,5
46,47,9
47,48,3
48,49,5
49,50,6
50,51,9
51,52,16
52,53,4
53,54,6
54,55,1
55,56,1
56,58,3
57,59,2
58,60,2
59,61,1
60,62,6
61,63,3
62,64,1
63,65,3
64,66,4
65,67,1
66,71,1
67,72,1
68,73,1
69,74,5
70,75,1
71,76,2
72,77,2
73,78,1
